ts,family,scope,coin,sent,sent_z,mentions,confidence_flag
2026-08-16T04:00:00+00:00,news,coin,BTC,-0.20713863990303835,,13,normal
2026-08-16T04:00:00+00:00,news,coin,SOL,0.17306749623111817,,3,normal
2026-08-16T04:00:00+00:00,news,coin,ETH,0.21478926116433478,,5,normal
2026-08-16T04:00:00+00:00,news,coin,HTX,-1.0,,1,low
2026-08-16T04:00:00+00:00,news,coin,USD1,0.5,,1,low
2026-08-16T04:00:00+00:00,news,coin,USDT,1.0,,1,low
