ts,family,scope,coin,sent,sent_z,mentions,confidence_flag
2026-08-16T05:00:00+00:00,news,coin,BTC,-0.10829702973167504,,84,normal
2026-08-16T05:00:00+00:00,news,coin,ETH,-0.06021589821362993,,48,normal
2026-08-16T05:00:00+00:00,news,coin,SOL,0.15670515824960468,,34,normal
2026-08-16T05:00:00+00:00,news,coin,HTX,-0.872484872475406,,2,low
2026-08-16T05:00:00+00:00,news,coin,USD1,0.7287856422948092,,2,low
2026-08-16T05:00:00+00:00,news,coin,TRUMP,0.5,,3,normal
2026-08-16T05:00:00+00:00,news,coin,USDT,0.3239939916653413,,46,normal
2026-08-16T05:00:00+00:00,news,coin,ETHFI,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,AAVE,0.5,,2,low
2026-08-16T05:00:00+00:00,news,coin,XRP,-0.14485164193432407,,30,normal
2026-08-16T05:00:00+00:00,news,coin,FLR,0.5,,2,low
2026-08-16T05:00:00+00:00,news,coin,LINK,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,DOGE,-0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,PUMP,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,BNB,0.1760998348362001,,26,normal
2026-08-16T05:00:00+00:00,news,coin,USDC,0.5027161312240096,,24,normal
2026-08-16T05:00:00+00:00,news,coin,PI,0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,TRX,0.28891925355029835,,19,normal
2026-08-16T05:00:00+00:00,news,coin,FIGR_HELOC,-0.5,,2,low
2026-08-16T05:00:00+00:00,news,coin,HYPE,0.5122673995011424,,21,normal
2026-08-16T05:00:00+00:00,news,coin,U,0.5,,4,normal
2026-08-16T05:00:00+00:00,news,coin,M,0.5,,4,normal
2026-08-16T05:00:00+00:00,news,coin,STABLE,0.5,,2,low
2026-08-16T05:00:00+00:00,news,coin,JST,0.0,,2,low
2026-08-16T05:00:00+00:00,news,coin,ARB,-0.5,,1,low
2026-08-16T05:00:00+00:00,news,coin,AERO,0.5,,1,low
2026-08-16T06:00:00+00:00,news,coin,AAVE,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,AERO,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,ARB,-0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,BNB,0.1760998348362001,,0,carried
2026-08-16T06:00:00+00:00,news,coin,BTC,-0.10829702973167504,,0,carried
2026-08-16T06:00:00+00:00,news,coin,DOGE,-0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,ETH,-0.06021589821362993,,0,carried
2026-08-16T06:00:00+00:00,news,coin,ETHFI,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,FIGR_HELOC,-0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,FLR,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,H,0.02550844705519557,,0,low
2026-08-16T06:00:00+00:00,news,coin,HTX,-0.872484872475406,,0,carried
2026-08-16T06:00:00+00:00,news,coin,HYPE,0.5122673995011424,,0,carried
2026-08-16T06:00:00+00:00,news,coin,JST,0.0,,0,carried
2026-08-16T06:00:00+00:00,news,coin,LINK,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,M,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,PI,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,PUMP,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,SOL,0.15670515824960468,,0,carried
2026-08-16T06:00:00+00:00,news,coin,STABLE,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,TRUMP,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,TRX,0.28891925355029835,,0,carried
2026-08-16T06:00:00+00:00,news,coin,U,0.5,,0,carried
2026-08-16T06:00:00+00:00,news,coin,USD1,0.7287856422948092,,0,carried
2026-08-16T06:00:00+00:00,news,coin,USDC,0.5027161312240096,,0,carried
2026-08-16T06:00:00+00:00,news,coin,USDT,0.3239939916653413,,0,carried
2026-08-16T06:00:00+00:00,news,coin,XRP,-0.2110491187159083,,1,low
2026-08-16T06:15:00+00:00,news,coin,AAVE,0.5,,0,carried
2026-08-16T06:15:00+00:00,news,coin,AERO,0.5,,0,carried
2026-08-16T06:15:00+00:00,news,coin,ARB,-0.5,,0,carried
